Representative,State,District,Phone,Room,,
"Johnson, Eddie Bernice",TX,30th,225-8885,2468,,
"Johnson, Henry C. ""Hank"", Jr.",GA,4th,225-1605,2240,,
"Johnson, Mike",LA,4th,225-2777,327,,
"Johnson, Sam",TX,3d,225-4201,2304,,
"Jones, Walter B.",NC,3d,225-3415,2333,,
"Jordan, Jim",OH,4th,225-2676,2056,,
"Joyce, David P.",OH,14th,225-5731,1124,,
"Kaptur, Marcy",OH,9th,225-4146,2186,,
"Katko, John",NY,24th,225-3701,1620,,
"Keating, William R.",MA,9th,225-3111,2351,,
"Kelly, Mike",PA,3d,225-5406,1707,,
"Kelly, Robin L.",IL,2d,225-0773,1239,,
"Kelly, Trent",MS,1st,225-4306,1721,,
"Kennedy, Joseph P., III",MA,4th,225-5931,434,,
"Khanna, Ro",CA,17th,225-2631,513,,
"Kihuen, Ruben",NV,4th,225-9894,313,,
"Kildee, Daniel T.",MI,5th,225-3611,227,,
"Kilmer, Derek",WA,6th,225-5916,1520,,
"Kind, Ron",WI,3d,225-5506,1502,,
"King, Peter T.",NY,2d,225-7896,339,,
"King, Steve",IA,4th,225-4426,2210,,
"Kinzinger, Adam",IL,16th,225-3635,2245,,
"Knight, Stephen",CA,25th,225-1956,1023,,
"Krishnamoorthi, Raja",IL,8th,225-3711,515,,
"Kuster, Ann M.",NH,2d,225-5206,137,,
"Kustoff, David",TN,8th,225-4714,508,,
"Labrador, Raúl R.",ID,1st,225-6611,1523,,
"LaHood, Darin",IL,18th,225-6201,1424,,
"LaMalfa, Doug",CA,1st,225-3076,322,,
"Lamborn, Doug",CO,5th,225-4422,2402,,
"Lance, Leonard",NJ,7th,225-5361,2352,,
"Langevin, James R.",RI,2d,225-2735,2077,,
"Larsen, Rick",WA,2d,225-2605,2113,,
"Larson, John B.",CT,1st,225-2265,1501,,
"Latta, Robert E.",OH,5th,225-6405,2448,,
"Lawrence, Brenda L.",MI,14th,225-5802,1213,,
"Lawson, Al, Jr.",FL,5th,225-0123,1337,,
"Lee, Barbara",CA,13th,225-2661,2267,,
"Levin, Sander M.",MI,9th,225-4961,1236,,
"Lewis, Jason",MN,2d,225-2271,418,,
"Lewis, John",GA,5th,225-3801,343,,
"Lieu, Ted",CA,33d,225-3976,236,,
"Lipinski, Daniel",IL,3d,225-5701,2346,,
"LoBiondo, Frank A.",NJ,2d,225-6572,2427,,
"Loebsack, David",IA,2d,225-6576,1527,,
"Lofgren, Zoe",CA,19th,225-3072,1401,,
"Long, Billy",MO,7th,225-6536,2454,,
"Loudermilk, Barry",GA,11th,225-2931,329,,
"Love, Mia B.",UT,4th,225-3011,217,,
"Lowenthal, Alan S.",CA,47th,225-7924,125,,
"Lowey, Nita M.",NY,17th,225-6506,2365,,
"Lucas, Frank D.",OK,3d,225-5565,2405,,
"Luetkemeyer, Blaine",MO,3d,225-2956,2230,,
"Luján, Ben Ray",NM,3d,225-6190,2231,,
"Lujan Grisham, Michelle",NM,1st,225-6316,214,,
"Lynch, Stephen F.",MA,8th,225-8273,2268,,
"MacArthur, Thomas",NJ,3d,225-4765,506,,
"Maloney, Carolyn B.",NY,12th,225-7944,2308,,
"Maloney, Sean Patrick",NY,18th,225-5441,1027,,
"Marchant, Kenny",TX,24th,225-6605,2369,,
"Marino, Tom",PA,10th,225-3731,2242,,
"Marshall, Roger W.",KS,1st,225-2715,312,,
"Massie, Thomas",KY,4th,225-3465,2453,,
"Mast, Brian J.",FL,18th,225-3026,2182,,
"Matsui, Doris O.",CA,6th,225-7163,2311,,
"McCarthy, Kevin",CA,23d,225-2915,2421,,
"McCaul, Michael T.",TX,10th,225-2401,2001,,
"McClintock, Tom",CA,4th,225-2511,2312,,
"McCollum, Betty",MN,4th,225-6631,2256,,
"McEachin, A. Donald",VA,4th,225-6365,314,,
"McGovern, James P.",MA,2d,225-6101,438,,
"McHenry, Patrick T.",NC,10th,225-2576,2334,,
"McKinley, David B.",WV,1st,225-4172,2239,,
"McMorris Rodgers, Cathy",WA,5th,225-2006,1314,,
"McNerney, Jerry",CA,9th,225-1947,2265,,
"McSally, Martha",AZ,2d,225-2542,510,,
"Meadows, Mark",NC,11th,225-6401,1024,,
"Meehan, Patrick",PA,7th,225-2011,2305,,
"Meeks, Gregory W.",NY,5th,225-3461,2234,,
