1,STATE,STATE ABBREVIATION,D,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL VOTES,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,,,
75,Alaska,AK,00,n/a,,,,,Party Votes:,D,"38,673",,,,,,,,,,,
76,Alaska,AK,00,n/a,,,Scattered,Scattered,,W,,,,,"1,345",0.53%,,,,,,
77,Alaska,AK,00,n/a,,,,,District Votes:,,"144,297",,,,"254,335",,,,,,,
78,Alaska,AK,H,n/a,,,,,Total State Votes:,,"144,297",,,,"254,335",,,,,,,
79,Alaska,AK,,n/a,,,,,,,,,,,,,,,,,,
80,Alaska,AK,,n/a,,,,,,,,,,,,,,,,,,
81,Alaska,AK,S,S4AK00099,(I),Lisa ,Murkowski,"Murkowski, Lisa ",,R/W***,"53,872",49.09%,,,"92,931",36.08%,,,,,,
82,Alaska,AK,S,S0AK00121,,Joe,Miller,"Miller, Joe",,R,"55,878",50.91%,,,"90,839",35.27%,,,,,,
83,Alaska,AK,S,n/a,,,,,Party Votes:,R,"109,750",,,,,,,,,,,
84,Alaska,AK,S,S0AK00139,,Scott T.,McAdams,"McAdams, Scott T.",,D,"18,035",59.55%,,,"60,045",23.32%,,,,,,
85,Alaska,AK,S,S0AK00147,,Jacob Seth,Kern,"Kern, Jacob Seth",,D,"6,913",22.82%,,,,,,,,,,
86,Alaska,AK,S,S0AK00097,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,"5,339",17.63%,,,,,,,,,,
87,Alaska,AK,S,n/a,,,,,Party Votes:,D,"30,287",,,,,,,,,,,
88,Alaska,AK,S,S4AK00099,,,Murkowski,Murkowski,,W (Challenged Counted),,,,,"8,160",3.17%,,,,,,
89,Alaska,AK,S,,,,Murkowski,Murkowski,,W (Challenged NOT Counted),,,,,"2,035",0.79%,,,,,,
90,Alaska,AK,S,S8AK00165,,"Fredrick ""David""",Haase,"Haase, Fredrick ""David""",,LIB,"5,793",100.00%,,,"1,459",0.57%,,,,,,
91,Alaska,AK,S,n/a,,,,,Party Votes:,LIB,"5,793",,,,,,,,,,,
92,Alaska,AK,S,S0AK00154,,Tim,Carter,"Carter, Tim",,NAF,,,,,927,0.36%,,,,,,
93,Alaska,AK,S,n/a,,,Other - Misc. Names,Other - Misc. Names,,W,,,,,602,0.23%,,,,,,
94,Alaska,AK,S,S4AK00115,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,,,,,458,0.18%,,,,,,
95,Alaska,AK,S,S0AK00121,,Joe,Miller,"Miller, Joe",,W,,,,,21,0.01%,,,,,,
96,Alaska,AK,S,S0AK00162,,Sid,Hill,"Hill, Sid",,W,,,,,13,0.01%,,,,,,
97,Alaska,AK,S,n/a,,,McAdams,McAdams,,W,,,,,8,0.00%,,,,,,
98,Alaska,AK,S,n/a,,Edward D.,Marin Jr.,"Marin Jr., Edward D.",,W,,,,,6,0.00%,,,,,,
99,Alaska,AK,S,n/a,,Red K.,Bradley,"Bradley, Red K.",,W,,,,,3,0.00%,,,,,,
100,Alaska,AK,S,n/a,,Guy A.,Cummins,"Cummins, Guy A.",,W,,,,,2,0.00%,,,,,,
101,Alaska,AK,S,n/a,,Lisa M.,Lackey,"Lackey, Lisa M.",,W,,,,,2,0.00%,,,,,,
102,Alaska,AK,S,n/a,,Richard,McGahan,"McGahan, Richard",,W,,,,,2,0.00%,,,,,,
103,Alaska,AK,S,n/a,,Marvin Roger,Moser,"Moser, Marvin Roger",,W,,,,,2,0.00%,,,,,,
104,Alaska,AK,S,n/a,,Karen,Perry,"Perry, Karen",,W,,,,,2,0.00%,,,,,,
105,Alaska,AK,S,n/a,,Eileen M.,Ransom,"Ransom, Eileen M.",,W,,,,,2,0.00%,,,,,,
106,Alaska,AK,S,n/a,,Jed,Whittaker,"Whittaker, Jed",,W,,,,,2,0.00%,,,,,,
107,Alaska,AK,S,n/a,,Michael,Ames,"Ames, Michael",,W,,,,,1,0.00%,,,,,,
108,Alaska,AK,S,n/a,,Kevin,Austin,"Austin, Kevin",,W,,,,,1,0.00%,,,,,,
109,Alaska,AK,S,n/a,,David E.,Beeman,"Beeman, David E.",,W,,,,,1,0.00%,,,,,,
110,Alaska,AK,S,n/a,,Vicky L.,Beeman,"Beeman, Vicky L.",,W,,,,,1,0.00%,,,,,,
111,Alaska,AK,S,n/a,,David,Boyle,"Boyle, David",,W,,,,,1,0.00%,,,,,,
112,Alaska,AK,S,n/a,,Michael,Butler,"Butler, Michael",,W,,,,,1,0.00%,,,,,,
113,Alaska,AK,S,n/a,,Margaret A.,Crowell,"Crowell, Margaret A.",,W,,,,,1,0.00%,,,,,,
114,Alaska,AK,S,n/a,,Chris S.,Dillingham,"Dillingham, Chris S.",,W,,,,,1,0.00%,,,,,,
115,Alaska,AK,S,n/a,,David S.,George,"George, David S.",,W,,,,,1,0.00%,,,,,,
116,Alaska,AK,S,n/a,,Alan D.,Humphries,"Humphries, Alan D.",,W,,,,,1,0.00%,,,,,,
117,Alaska,AK,S,n/a,,Petter M.,Johnson,"Johnson, Petter M.",,W,,,,,1,0.00%,,,,,,
118,Alaska,AK,S,n/a,,Eric C.,Kelly,"Kelly, Eric C.",,W,,,,,1,0.00%,,,,,,
119,Alaska,AK,S,n/a,,Bill,Klemme,"Klemme, Bill",,W,,,,,1,0.00%,,,,,,
120,Alaska,AK,S,n/a,,Marjori,Landis-Beck,"Landis-Beck, Marjori",,W,,,,,1,0.00%,,,,,,
121,Alaska,AK,S,n/a,,Anthony,Rice,"Rice, Anthony",,W,,,,,1,0.00%,,,,,,
122,Alaska,AK,S,n/a,,Thompson,Steve,"Steve, Thompson",,W,,,,,1,0.00%,,,,,,
123,Alaska,AK,S,n/a,,Georgia Lee,Tolbert,"Tolbert, Georgia Lee",,W,,,,,1,0.00%,,,,,,
124,Alaska,AK,S,n/a,,,,,Total State Votes:,,"145,830",,,,"257,538",,,,,,,
125,,,,n/a,,,,,,,,,,,,,,,,,,
126,American Samoa,AS,00,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,D,,,,,"6,182",56.41%,,,,,,
127,American Samoa,AS,00,H4AS00036,,Aumua,Amata,"Amata, Aumua",,R,,,,,"4,422",40.35%,,,,,,
128,American Samoa,AS,00,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,NNE,,,,,356,3.25%,,,,,,
129,American Samoa,AS,H,n/a,,,,,District Votes:,,,,,,"10,960",,,,,,,
130,American Samoa,AS,H,n/a,,,,,Total Votes:,,,,,,"10,960",,,,,,,
131,,,,n/a,,,,,,,,,,,,,,,,,,
132,Arizona,AZ,01,H0AZ01259,,Paul,Gosar,"Gosar, Paul",,R,"21,941",30.73%,,,"112,816",49.72%,,,,,,
133,Arizona,AZ,01,H2AZ01149,,Sydney,Hay,"Hay, Sydney",,R,"16,328",22.87%,,,,,,,,,,
134,Arizona,AZ,01,H0AZ01267,,Bradley,Beauchamp,"Beauchamp, Bradley",,R,"11,356",15.91%,,,,,,,,,,
135,Arizona,AZ,01,H0AZ01275,,"Russell ""Rusty""",Bowers,"Bowers, Russell ""Rusty""",,R,"10,552",14.78%,,,,,,,,,,
136,Arizona,AZ,01,H0AZ01283,,Steve,Mehta,"Mehta, Steve",,R,"5,846",8.19%,,,,,,,,,,
137,Arizona,AZ,01,H0AZ01309,,Thomas J.,Zaleski,"Zaleski, Thomas J.",,R,"2,105",2.95%,,,,,,,,,,
138,Arizona,AZ,01,H0AZ01317,,Jon,Jensen,"Jensen, Jon",,R,"1,736",2.43%,,,,,,,,,,
139,Arizona,AZ,01,H0AZ01291,,Joe,Jaraczewski,"Jaraczewski, Joe",,R,"1,530",2.14%,,,,,,,,,,
140,Arizona,AZ,01,n/a,,,,,Party Votes:,R,"71,394",,,,,,,,,,,
141,Arizona,AZ,01,H8AZ01104,(I),Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,"46,902",100.00%,,,"99,233",43.73%,,,,,,
142,Arizona,AZ,01,n/a,,,,,Party Votes:,D,"46,902",,,,,,,,,,,
143,Arizona,AZ,01,H0AZ01341,,Nicole,Patti,"Patti, Nicole",,W(LIB)/LIB,23,100.00%,,,"14,869",6.55%,,,,,,
144,Arizona,AZ,01,n/a,,,,,Party Votes:,LIB,23,,,,,,,,,,,
145,Arizona,AZ,01,n/a,,,,,District Votes:,,"118,319",,,,"226,918",,,,,,,
146,Arizona,AZ,,n/a,,,,,,,,,,,,,,,,,,
147,Arizona,AZ,02,H4AZ04024,(I),Trent,Franks,"Franks, Trent",,R,"81,252",80.87%,,,"173,173",64.88%,,,,,,
148,Arizona,AZ,02,H0AZ02141,,Charles,Black,"Black, Charles",,R,"19,220",19.13%,,,,,,,,,,
149,Arizona,AZ,02,n/a,,,,,Party Votes:,R,"100,472",,,,,,,,,,,
150,Arizona,AZ,02,H6AZ02155,,John,Thrasher,"Thrasher, John",,D,"32,503",100.00%,,,"82,891",31.06%,,,,,,
